編號,成語,釋義,用法說明-語義說明,三歲版解釋
4457,一舉兩全,"猶「一舉兩得」。見「一舉兩得」條。01.《三國志．卷二六．魏書．滿田牽郭傳．郭淮》：「兵不遠西，而胡交自離，此一舉而兩全之策也。」02.《西遊記》第五四回：「一則不傷了他的性命，二來不損了你的元神；這叫做『假親脫網』之計。豈非一舉兩全之美也？」<a name=""一舉兩利"">　</a>",,
4458,仰承鼻息,猶「仰人鼻息」。見「仰人鼻息」條。01.《二十年目睹之怪現狀》第九回：「嘉定鄉紳，是權力很大的，地方官都是仰承他鼻息的。」,,
4459,東床嬌婿,"猶「坦腹東床」。見「坦腹東床」條。01.《金瓶梅詞話》第二○回：「東床嬌婿實堪憐，況遇青春美少年。待客每令席側坐，尋常只在便門穿。」02.《紅樓夢》第七九回：「賈赦見是世交之孫，且人品家當都相稱合，遂青目擇為東床嬌婿。」<a name=""坦東床腹"">　</a>",,
4460,不共之仇,比喻極深的仇恨。見「不共戴天」條。01.《東周列國志》第三回：「申公借兵失策，開門揖盜，使其焚燒宮闕，戮及先王，此不共之仇也。」,,
4461,倚馬成文,"猶「倚馬可待」。見「倚馬可待」條。01.清．毛奇齡〈百字令．秋風乍起〉詞：「倚馬成文，磨盾草檄，殺盡中山兔。」<a name=""揮毫倚馬"">　</a>",,
4462,美奐美輪,猶「美輪美奐」。見「美輪美奐」條。01.《幼學瓊林．卷三．宮室類》：「美奐美輪，禮稱屋宇之高華。」,,
4463,珠連璧合,"即「珠聯璧合」。見「珠聯璧合」條。01.宋．秦觀〈代謝曆日表〉：「斗建龍躔，於焉有序；珠連璧合，由是可窺。」02.《太平天國資料．沈世祁．詔書蓋璽頒行論》：「詔傳四海，仰珠連璧合之光；書遍萬方，欽金璽綸音之盛。」<a name=""珠聯玉映"">　</a>",,
4464,不識時變,"猶「不識時務」。見「不識時務」條。01.《武王伐紂平話》卷下：「爾不識時變，不解天機。」<a name=""不達時務"">　</a>",,
4465,孔席不暖,"孔子所到之處，坐席未暖就起身離去。形容孔子汲汲於行道，到處奔走，不暇安居。見「席不暇暖」條。01.漢．班固〈答賓戲〉：「是以聖哲之治，棲棲遑遑，孔席不&fdc6.jpg;（暖），墨突不黔。」<a name=""席不暇煖"">　</a>",,
4466,低頭喪氣,"即「垂頭喪氣」。見「垂頭喪氣」條。01.《三國演義》第四三回：「嚴畯低頭喪氣而不能對。」<a name=""垂首喪氣"">　</a>",,
4467,瀝膽隳肝,"猶「披肝瀝膽」。見「披肝瀝膽」條。01.唐．羅隱〈冬暮寄裴郎中〉詩：「仙郎舊有黃金約，瀝膽隳肝更禱祈。」<a name=""瀝血披肝"">　</a>",,
4468,心驚肉顫,"猶「心驚肉跳」。見「心驚肉跳」條。01.《初刻拍案驚奇》卷三○：「昨蒙君侯臺旨召陪王公之宴，初召時，就有些心驚肉顫，不知其由。」02.《三國演義》第八一回：「先主是夜心驚肉顫，寢臥不安。」<a name=""肉跳心驚"">　</a>",,
4469,豺狼當路,"即「豺狼當道」。見「豺狼當道」條。01.《後漢書．卷五六．張王种陳列傳．張晧》：「餘人受命之部，而綱獨埋其車輪於洛陽都亭，曰：『豺狼當路，安問狐狸！』」02.明．無名氏《運甓記》第二一齣：「豺狼當路，含沙沫吐烏，為功高見妒，勛重罹侮，播棄炎荒土。」<a name=""虎狼當路"">　</a>",,
4470,水洩不通,"即「水泄不通」。見「水泄不通」條。01.《初刻拍案驚奇》卷八：「無數糧船，阻塞住河路，自青年舖直到靈口，水洩不通。」02.《東周列國志》第六七回：「各姓分守城門，以拒慶封，防止嚴密，水洩不通。」<a name=""水息不通"">　</a>",,
4471,落葉歸根,即「葉落歸根」。見「葉落歸根」條。01.《官場現形記》第二二回：「但是樹高千丈，落葉歸根，將來總得有個著落，不得不說說明白。」,,
4472,饑不擇食,"饑，通「飢」。「饑不擇食」即「飢不擇食」。見「飢不擇食」條。01.《五燈會元．卷五．丹霞天然禪師》：「又一日訪龐居士，至門首相見。師乃問：『居士在否？』士曰：『饑不擇食。』」02.《喻世明言．卷一六．范巨卿雞黍死生交》：「沿路上饑不擇食，寒不思衣，夜宿店舍，雖夢中亦哭。」03.《紅樓夢》第一○三回：「那金桂原是個水性人兒，那裡守得住空房？況兼天天心裡想念薛蝌，便有些饑不擇食的光景。」<a name=""饑者無擇"">　</a>",,
4473,多華少實,即「華而不實」。見「華而不實」條。01.《意林》卷三引揚雄《太玄經》：「淮南王安多華少實。」,,
4474,梅林止渴,猶「望梅止渴」。見「望梅止渴」條。,,
4475,坐薪懸膽,"即「臥薪嘗膽」。見「臥薪嘗膽」條。01.《金史．卷一○○．<img align=absmiddle src=""../../mandarin/wordpicture/"">虎筠壽列傳》：「陛下當坐薪懸膽之日，奈何以毬鞠細物動搖民間，使屠宰耕牛以供不急之用，非所以示百姓也。」<br>",,
4476,流連忘反,即「流連忘返」。見「流連忘返」條。01.宋．呂公〈進十事．無逸〉：「蓋人君初務縱逸，小人必怨而大臣必諫，至于淫刑亂罰以杜言者之口，然後流連忘反，不聞其過，而終至于滅亡，故曰：『無逸之書後王之元龜也。』」,,
4477,殊塗同歸,"塗，通「途」。「殊塗同歸」即「殊途同歸」。見「殊途同歸」條。01.晉．葛洪《抱朴子．外篇．任命》：「或運思於立言，或銘勛乎國器，殊塗同歸，其致一焉。」<a name=""異軫同歸"">　</a>",,
4478,瞠乎後矣,猶「瞠乎其後」。見「瞠乎其後」條。01.清．江藩《漢學師承記．卷三．錢大昕》：「以漢儒擬之，在高密之下，即賈逵、服虔亦瞠乎後矣，況不及賈、服者哉！」,,
4479,脫胎換體,猶「脫胎換骨」。見「脫胎換骨」條。01.明．阮大鋮《燕子箋》第一六齣：「想是雄文得意，定要脫胎換體。」,,
4480,一筆三過,即「一波三折」。見「一波三折」條。01.宋．無名氏《宣和畫譜．卷一七．草書五．唐希雅》：「（唐希雅）初學南唐偽主李煜金錯書，有一筆三過之法，雖若甚瘦，而風神有餘。」,,
4481,巧言花語,即「花言巧語」。見「花言巧語」條。01.《崇禎本金瓶梅》第七五回：「好個說嘴的貨，我聽不上你這巧言花語，可可兒就是熱著我來！」,,
4482,壹敗塗地,"即「一敗塗地」。見「一敗塗地」條。<br>01.《史記．卷八．高祖本紀》：「天下方擾，諸侯並起，今置將不善，壹敗塗地。」（源）　<a name=""大敗塗地"">　</a>",,
4483,引鴆止渴,"猶「飲鴆止渴」。見「飲鴆止渴」條。01.宋．唐庚《文錄》：「引鴆爵以止渴，渴止而身亡。」<a name=""止渴飲鴆"">　</a>",,
4484,樂極哀生,"猶「樂極生悲」。見「樂極生悲」條。01.《三國志．卷六四．吳書．諸葛滕二孫濮陽傳．諸葛恪》：「人情之於品物，樂極則哀生。」<a name=""樂極哀來"">　</a>",,
4485,死灰復然,"即「死灰復燃」。見「死灰復燃」條。01.《史記．卷一○八．韓長孺列傳》：「其後安國坐法抵罪，蒙獄吏田甲辱安國。安國曰：『死灰獨不復然乎？』」（源）02.宋．王庭珪〈贈別陳君授〉詩其二：「乞兒猶戀權門火，應謂死灰能復然。」　<a name=""寒灰更然"">　</a>",,
4486,髮引千鈞,"猶「千鈞一髮」。見「千鈞一髮」條。01.《列子．仲尼》：「夫無意則心同。無指則皆至。盡物者常有。影不移者，說在改也。髮引千鈞，勢至等也。」（源）02.唐．韓愈〈與孟尚書書〉：「漢氏以來，群儒區區修補，百孔千瘡，隨亂隨失，其危如一髮引千鈞，綿綿延延，寖以微滅。」<a name=""一縷千鈞"">　</a>",,
4487,欲蓋彌章,猶「欲蓋彌彰」。見「欲蓋彌彰」條。01.清．王夫之《讀通鑑論．卷一三．晉明帝》：「怙慝而欲蓋彌章，不學於君子之道，雖智弗庸也。」<br>,,
4488,尊俎折衝,"猶「折衝尊俎」。見「折衝尊俎」條。01.清．王夫之《噩夢》：「若宋趙普、韓琦皆贈王爵，亦何病於國！雖秦檜亦濫王封，然不可以檜之失訾普、琦之得也。……公侯之名，惜於論道經邦、尊俎折衝之文臣如此。」<a name=""樽俎折衝"">　</a>",,
4489,秋毫無取,一點東西都不敢取用。見「秋毫無犯」條。01.《漢書．卷一上．高帝紀》：「吾入關，秋毫無所敢取。」<br>,,
4490,馬革裹尸,"即「馬革裹屍」。見「馬革裹屍」條。01.《東觀漢記．卷一二．馬援列傳》︰「男兒要當死於邊野，以馬革裹尸還葬耳，何能臥床上，在兒女子手中耶？」（源）02.《隋唐演義》第三七回：「若說疾病，大丈夫死當馬革裹尸，怎宛轉床席，在兒女子手中？」<a name=""裹尸馬革"">　</a>",,
4491,令人深省,猶「發人深省」。見「發人深省」條。01.唐．杜甫〈遊龍門奉先寺〉詩：「欲覺聞晨鐘，令人發深省。」（源）,,
4492,反邪歸正,"猶「改邪歸正」。見「改邪歸正」條。01.《初刻拍案驚奇》卷三一：「既如此，何不乘機反邪歸正？朝廷必有酬報。」<a name=""去邪歸正"">　</a>",,
4493,揮金似土,即「揮金如土」。見「揮金如土」條。01.《三俠五義》第六五回：「且說北俠他乃揮金似土之人，既要遣興賞奇，慢說是四兩，就是四十兩也是肯花的。」,,
4494,高檯明鏡,"即「明鏡高懸」。見「明鏡高懸」條。01.《京本通俗小說．錯斬崔寧》：「今日天理昭然，一一是他親口招承，伏乞相公高檯明鏡，昭雪前冤！」<a name=""高懸明鏡"">　</a>",,
4495,作法自弊,"猶「作法自斃」。見「作法自斃」條。01.宋．莊綽《雞肋編》卷中：「章誼宜叜侍郎，有田在明州。紹興二年出租，預買絹三匹，三年增九匹，歎其賦重。從兄彥武在傍曰：『此作法自弊之過也。』」<a name=""為法自斃"">　</a>",,
4496,衰當益壯,猶「老當益壯」。見「老當益壯」條。01.唐．李白〈為趙宣城與楊右相書〉：「所冀枯松晚歲，無改節於風霜……衰當益壯，結草知歸。」,,
4497,渾淪吞棗,"即「囫圇吞棗」。見「囫圇吞棗」條。01.《朱子語類．卷一二四．陸氏》：「今學者有幾個理會得章句？也只是渾淪吞棗。」　<a name=""鶻崙吞棗"">　</a>",,
4498,鶻崙吞棗,"即「囫圇吞棗」。見「囫圇吞棗」條。01.宋．朱熹〈答許順之〉書其三：「日用動靜語默，無非下學，聖人豈曾離此來？今動不動便先說個本末精粗無二致，正是鶻崙吞棗。」　<a name=""渾掄吞棗"">　</a>",,
4499,舉軍盡沒,即「全軍覆沒」。見「全軍覆沒」條。01.《魏書．卷三五．崔浩傳》：「劉裕得關中，留其愛子，精兵數萬，良將勁卒，猶不能固守，舉軍盡沒。」（源）,,
4500,魚遊釜中,遊，通「游」。釜，古代的一種烹飪器具，類似現在的鐵鍋、銅鍋。「魚遊釜中」指魚在鍋中游動。比喻身處險境，危在旦夕。語出《後漢書．卷五六．張王种陳列傳．張綱》。,比喻身處險境，危在旦夕。,
4501,眼高手生,"猶「眼高手低」。見「眼高手低」條。01.清．陳確〈與吳仲木書〉：「譬操觚家一味研窮體理，不輕下筆，終是眼高手生，鮮能入彀。」<a name=""眼高手拙"">　</a>",,
4502,改絃易轍,"即「改弦易轍」。見「改弦易轍」條。01.唐．白居易〈王公亮可商州刺史制〉：「今爾代之，守而勿失。況商土瘠，商人貧，可以靜理而阜安，不宜改絃而易轍。」02.《隋唐演義》第六七回：「張、尹二妃初只道兩個風流少年，可以永保歡娛；又道掇轉頭來，原可改絃易轍，豈知這節事不破則已，破則必敗。」<a name=""更絃易轍"">　</a>",,
4503,神術妙計,"猶「神機妙算」。見「神機妙算」條。01.元．無名氏《陰山破虜．頭折》：「今索請李靖軍師，至邊關用神術妙計，可除番虜也。」<a name=""神術妙策"">　</a>",,
4504,一矢雙穿,猶「一箭雙鵰」。見「一箭雙鵰」條。,,
4505,一帆順風,猶「一帆風順」。見「一帆風順」條。01.《水滸傳》第四一回：「卻值順風，拽起風帆，三隻大船，載了許多人馬頭領，卻投穆太公莊上來。一帆順風，早到岸邊埠頭。一行眾人都上岸來。」,,
4506,一呼百喏,喏，同「諾」。「一呼百喏」即「一呼百諾」。見「一呼百諾」條。01.《醒世姻緣傳》第九四回：「他如今做了這幾年官，前呼後擁，一呼百喏的，叫人奉承慣了的性兒。」,,
4507,一念差池,"即「一念之差」。見「一念之差」條。01.《初刻拍案驚奇》卷三五：「小神查得有曹州曹南周家莊上，他家福力所積陰功三輩，為他拆毀佛地，一念差池，合受一時折罰。」<a name=""一念之錯"">　</a>",,
4508,一枕南柯,"猶「南柯一夢」。見「南柯一夢」條。01.元．喬吉〈折桂令．雲雨期一枕南柯〉曲：「雲雨期一枕南柯，破鏡分釵，對酒當歌。」<br><a name=""一枕槐安"">　</a>",,
4509,一長二短,"猶「三長兩短」。見「三長兩短」條。01.《九命奇冤》第一七回：「倘或明天回去，老太太有甚麼一長二短，那就怎麼樣呢？」<a name=""一長半短"">　</a>",,
4510,一開生面,"猶「別開生面」。見「別開生面」條。01.宋．樓鑰《攻媿集．卷五五．平江府瞻儀堂畫像記》：「圖于壁間，良工名筆，一開生面。」<br><a name=""生面獨開"">　</a>",,
4511,一錢不直,"即「一錢不值」。見「一錢不值」條。01.唐．張文成《游仙窟》：「五嫂如許大人，專擬調合此事。少府謂言兒是九泉下人，明日在外處，談道兒一錢不直。」02.宋．史達祖〈滿江紅．好領青衫〉詞：「三徑就荒秋自好，一錢不直貧相逼。」<a name=""分文不直"">　</a>",,
4512,一趨一步,"猶「亦步亦趨」。見「亦步亦趨」條。01.明．湯顯祖〈復俞淳初侍御書〉：「舍親易瑞之一趨一步，自是孔門卓爾。」<a name=""隨人步趨"">　</a>",,
4513,七竅煙生,"即「七竅生煙」。見「七竅生煙」條。01.《西遊記》第七八回：「（唐僧）忽聞此言，諕得三屍神散，七竅煙生，倒在塵埃，渾身是汗，眼不定睛，口不能言。」<a name=""七孔生煙"">　</a>",,
4514,七竅煙騰,猶「七竅生煙」。見「七竅生煙」條。,,
4515,了無所有,"即「一無所有」。見「一無所有」條。01.唐．谷神子《博異記．劉方玄》：「方玄固請開院視之，則秋草滿地，……啟其廳，廳則新淨，了無所有。」<a name=""渾無所有"">　</a>",,
4516,人謀敓天造,敓，同「奪」。猶「人定勝天」。見「人定勝天」條。01.宋．范成大〈鏵嘴〉詩：「至今舟楫利，楚粵徑萬里。人謀敓天造，史祿所經始。」<br>,,
4517,入夢生花,猶「夢筆生花」。見「夢筆生花」條。01.明．屠隆《彩毫記》第一七齣：「我看這手中一管彩毫作祟，何用你入夢生花，我待要燒卻你呵。」,,
4518,十全之美,猶「十全十美」。見「十全十美」條。01.《警世通言．卷五．呂大郎還金完骨肉》：「其年夫妻齊壽，皆當五旬。福兒年九歲，善兒年八歲，踏肩生下來的，都已上學讀書，十全之美。」02.《警世通言．卷二二．宋小官團圓破氈笠》：「（劉翁暗想）自家年紀漸老，止有一女，要求個賢婿以靠終身，似宋小官一般，到也十全之美。」,,
4519,三絕韋,猶「韋編三絕」。見「韋編三絕」條。01.清．翁同龢〈山中感懷用守默庵偶成韻〉詩：「賣文不屑千端絹，學《易》惟期三絕韋。」,,
4520,下筆成詠,"猶「下筆成章」。見「下筆成章」條。01.《太平廣記．卷二七三．杜牧》引《闕史》：「唐中書舍人杜牧，少有逸才，下筆成詠。」<a name=""援筆成章"">　</a>",,
4521,千丈一落,高度急劇下降。見「一落千丈」條。01.清．黃景仁〈退潭舟夜雷雨〉詩：「舟人繫纜爭性命，千丈一落分毫差。懸崖怪樹電光裡，龍顛虎倒猶盤拏。」,,
4522,千里寄鵝毛,"即「千里鵝毛」。見「千里鵝毛」條。01.宋．胡仔《苕溪漁隱叢話．後集．卷三一．山谷上》引《復齋漫錄》：「諺云︰『情人眼裡有西施。』又云︰『千里寄鵝毛，物輕人意重。』皆鄙語也。」02.宋．蘇軾〈揚州以土物寄少游〉詩：「且同千里寄鵝毛，何用孜孜飫麋鹿。」<a name=""萬里鵝毛"">　</a>",,
4523,千轉萬變,"猶「千變萬化」。見「千變萬化」條。01.《莊子．田子方》：「於是哀公號之五日，而魯國无敢儒服者，獨有一丈夫儒服而立乎公門。公即召而問以國事，千轉萬變而不窮。」<a name=""千變萬態"">　</a>",,
4524,口出不遜,即「出言不遜」。見「出言不遜」條。01.《官話指南．卷四．官話問答》：「每日三五成群，在店門口兒擁擠觀看，其中還有口出不遜者。」,,
4525,口呿目瞪,"呿，張大嘴巴的樣子。「口呿目瞪」猶「目瞪口呆」。見「目瞪口呆」條。01.《敦煌變文集新書．卷六．捉季布傳文》：「朱解低頭親看札，口呿目瞪忘收脣。」<a name=""目睜口呆"">　</a>",,
4526,大廷廣眾,"廷，通庭。「大廷廣眾」即「大庭廣眾」。見「大庭廣眾」條。01.清．龔自珍〈上大學士書〉：「大廷廣眾，苟且安之，夢覺獨居，胸弗謂是。」<a name=""廣眾之庭"">　</a>",,
4527,大喜踰望,"踰，超過。「大喜踰望」即如「大喜過望」。見「大喜過望」條。01.清．汪價〈三儂贅人廣自序〉：「雲門進啟曰：『此即夫人子，訊得其實。』夫人大喜踰望。」<a name=""過望之喜"">　</a>",,
4528,大繆不然,即「大謬不然」。見「大謬不然」條。01.宋．朱熹〈答韓尚書書〉：「自是以往，其將得以優游卒歲，就其所業而無蹙迫之慮矣！而事乃有大繆不然者，熹亦安得默然而亡言哉！」,,
4529,小試割雞,猶「牛刀小試」。見「牛刀小試」條。01.明．海瑞〈復王七峰瓊山知縣書〉：「執事滿懷經濟，小試割雞，顧此僻邑，何幸！何幸！」</t６d>,,
4530,尸利素餐,猶「尸位素餐」。見「尸位素餐」條。01.《孔叢子．論勢》：「言不當於主，而居人之官，食人之祿，是尸利也，尸利素飱（餐），吾罪深矣！」,,
4531,尸祿素餐,"猶「尸位素餐」。見「尸位素餐」條。01.漢．劉向《說苑．卷一四．至公》：「臣為令尹十年矣，國不加治，獄訟不息，處士不升，淫禍不討，久踐高位，妨群賢路，尸祿素餐，貪欲無厭，臣之罪當稽於理。」02.宋．王禹偁〈又謝恩表〉：「臣等尚容待罪，彌積厚顏，當主憂臣辱之時，抱尸祿素餐之過。」<a name=""素餐尸位"">　</a>",,
4532,弓影浮杯,"猶「杯弓蛇影」。見「杯弓蛇影」條。01.明．劉炳〈鄱城歸舟同何希憲共載劇談悲歌有感〉詩：「弓影浮杯疑老病，雞聲牽夢動離愁。」<a name=""弓影杯蛇"">　</a>",,
4533,才高倚馬,"言文才高超，倚馬可待。參見「倚馬可待」條。01.明．顧大典《青衫記》第二齣：「他才高倚馬，志許攀龍。」<a name=""才堪倚馬"">　</a>",,
4534,才堪倚馬,"言文才敏捷，倚馬可待。參見「倚馬可待」條。01.明．阮大鋮《燕子箋》第四二齣：「茲爾羽林都尉霍都梁，才堪倚馬，夢可兆熊。」<a name=""倚馬之才"">　</a>",,
4535,不二門,"猶「不二法門」。見「不二法門」條。01.宋．陳師道〈次韻蘇公謁告〉詩三首之三：「更無人問維摩詰，始是東坡不二門。」02.元．方回〈贈刊工程禮〉詩：「鏤金鐫石切瑤琨，深入詩家不二門。」<a name=""法無二門"">　</a>",,
4536,不加點,"即「文不加點」。見「文不加點」條。01.唐．李商隱〈撰彭陽公志文畢有感〉詩：「敢伐不加點，猶當無愧辭。」<a name=""文無加點"">　</a>",,
4537,不可救療,猶「不可救藥」。見「不可救藥」條。,,
4538,不可擢髮,"猶「擢髮難數」。見「擢髮難數」條。01.清．褚人穫《堅瓠八集．卷三．懺目》：「臣今求哀懺悔，數其罪而請禱，……諸如此類，不可擢髮。」<a name=""擢髮數"">　</a>",,
4539,不共天地,"即「不共戴天」。見「不共戴天」條。01.《三國演義》第五八回：「今令先君被操所害，此將軍不共天地、不同日月之讎也。」<a name=""不共之仇"">　</a>",,
4540,不同日月,"即「不共戴天」。見「不共戴天」條。01.《三國演義》第五八回：「今令先君被操所害，此將軍不共天地、不同日月之讎也。」<a name=""不共天地"">　</a>",,
4541,不見書傳,即「不見經傳」。見「不見經傳」條。01.《史記．卷六七．仲尼弟子列傳．序》：「自子石已右三十五人，顯有年名及受業聞見于書傳。其四十有二人，無年及不見書傳者紀于左。」（源）,,
4542,不直一文,"猶「一錢不值」。見「一錢不值」條。01.宋．羅大經《鶴林玉露》卷四：「士大夫若愛一文，不直一文。」<a name=""不值半文"">　</a>",,
4543,不為凡響,為，是。「不為凡響」猶「不同凡響」。見「不同凡響」條。01.清．昭槤《嘯亭雜錄．卷六．果恭王之儉》：「善詩詞，幼受業於沈確士尚書，故詞宗歸於正音，不為凡響。」,,
4544,不值半文,"猶「一錢不值」。見「一錢不值」條。01.宋．張叔仁〈送謝疊山入燕〉詩：「人皆屈膝甘為下，公獨高聲罵向前。此去好憑三寸舌，再來不值半文錢。」<a name=""一文不值"">　</a>",,
4545,不動聲氣,"猶「不動聲色」。見「不動聲色」條。01.宋．歐陽修〈相州晝錦堂記〉：「至於臨大事，決大議，垂紳正笏，不動聲氣，而措天下於泰山之安，可謂社稷之臣矣。」<a name=""聲色不動"">　</a>",,
4546,不脩邊幅,"脩，通「修」。「不脩邊幅」。猶「不修邊幅」。見「不修邊幅」條。01.北齊．顏之推《顏氏家訓．序致》：「雖讀禮傳，微愛屬文，頗為凡人之所陶染，肆欲輕言，不脩邊幅。」02.《舊唐書．卷一九○．文苑列傳下．溫庭筠》：「初至京師，人士翕然推重。然士行塵雜，不脩邊幅，能逐絃吹之音，為側豔之詞，公卿家無賴子弟裴誠、令狐縞之徒，相與蒱飲，酣醉終日，由是累年不第。」<a name=""不飾邊幅"">　</a>",,
4547,不暇思索,沒空思考探求，立即做出反應。見「不假思索」條。01.《斬鬼傳》第二回：「鍾馗提起筆來，不暇思索，一會而就，果然是敲金戛玉，文不加點。」,,
4548,不學亡術,"即「不學無術」。見「不學無術」條。01.《漢書．卷六八．霍光金日磾傳．霍光》：「贊曰：『然光不學亡術，闇於大理，陰妻邪謀，立女為后，湛溺盈溢之欲，以增顛覆之禍，死財三年，宗族誅夷，哀哉！』」（源）<a name=""不學無文"">　</a>",,
4549,不辨菽粟,猶「不辨菽麥」。見「不辨菽麥」條。01.清．龔自珍《龔自珍全集．第一輯．農宗》：「婢妾之養不備，則不世；祠祭弗如式，不世；不辨菽粟，亦不世。」,,
4550,不辯菽麥,"即「不辨菽麥」。見「不辨菽麥」條。01.《抱朴子．外篇．窮達》：「庸俗之夫，闇於別物，不分朱紫，不辯菽麥。」<a name=""未辨菽麥"">　</a>",,
4551,中乾外強,即「外強中乾」。見「外強中乾」條。01.清．趙翼〈錦囊〉詩：「老已中乾尚外強，嬉遊還逐少年場。」,,
4552,予奪生殺,"即「生殺予奪」。見「生殺予奪」條。01.漢．董仲舒《春秋繁露．如天之為》：「為人主者，予奪生殺，各當其義。」02.宋．彭龜年〈祖祭陳克齋先生文〉：「窮達壽夭，何寥絕耶？亦有司予奪生殺於其冥默者耶？」<a name=""生死與奪"">　</a>",,
4553,井底蝦蟆,"蝦蟆，此指青蛙。「井底蝦蟆」即「井底之蛙」。見「井底之蛙」條。01.《五燈會元．卷一○．雲蓋用清禪師》：「師曰：『一缾淨水一爐香。』（僧）曰：『此猶是井底蝦蟆。』」02.明．陳汝元《金蓮記》第三齣：「妾閱人多矣，皆是井底蝦蟆，未有中原麟鳳。」<a name=""坎井之蛙"">　</a>",,
4554,井然不紊,猶「井井有條」。見「井井有條」條。01.清．梁廷柟《曲話》卷三：「戰既不能，而後定計幸蜀，層次井然不紊。」,,
4555,五日尹京,即「五日京兆」。見「五日京兆」條。01.宋．周必大〈程泰之昨有金帶銀章之句……兩日復得其詩亦再次韻〉詩：「五日尹京非細事，四時仕宦固多般。」,,
4556,分文不直,"猶「一錢不值」。見「一錢不值」條。01.《五燈會元．卷七．保福從展禪師》：「有人讚歎此事如虎戴角，有人輕毀此事分文不直。」<a name=""分毫不直"">　</a>",,
4557,分廷抗禮,即「分庭抗禮」。見「分庭抗禮」條。01.《舊五代史．卷五一．唐書．宗室列傳．秦王從榮》邵晉涵注引《五代史補》：「輦尤能為詩，賓主相遇甚歡。自是出入門下者，當時名士有若張杭、高文蔚、何仲舉之徒，莫不分廷抗禮，更唱迭和。」,,
4558,分毫不直,"猶「一錢不值」。見「一錢不值」條。01.五代宋．釋重顯《雪竇四集．瀑泉集．蘇州僧正并諸名員疏》：「有人讚嘆此事如虎帶角，有人輕毀此事分毫不直。」<a name=""不直一文"">　</a>",,
4559,切瑳琢磨,即「切磋琢磨」。見「切磋琢磨」條。01.漢．王充《論衡．量知》：「骨曰切，象曰瑳，玉曰琢，石曰磨，切瑳琢磨，乃成寶器。」,,
4560,化險為平,猶「化險為夷」。見「化險為夷」條。01.清．林則徐《林文忠公政書．東河奏稿．卷一．；補授河督謝恩並陳不諳河務下忱摺》：「河臣總攬全局，籌度機宜，必須明曉工程，胸有把握，始能釐工剔弊，化險為平。」,,
4561,反覆不常,即「反覆無常」。見「反覆無常」條。01.宋．周密《齊東野語．卷五．端平襄州本末》：「九月十日，聞王旻帶所納叛軍來，襄人熒欋反覆不常，而末如之何。」02.明．余繼登《典故紀聞》卷一二：「且《諸司職掌》實國家彝典，萬世不可改易，況綸音在耳，未及再期，而吏部輒反覆不常，難於遵守。」,,
4562,天地誅戮,戮，殺。「天地誅戮」即「天誅地滅」。見「天誅地滅」條。01.《水滸傳》第八○回：「某等淹留大貴人在此，並無異心。若有瞞昧，天地誅戮。」,,
4563,天花墜地,"猶「天花亂墜」。見「天花亂墜」條。01.《幼學瓊林．卷四．釋道鬼神類》：「梁高僧談經入妙，可使頑石點頭，天花墜地。」<a name=""亂墜天花"">　</a>",,
4564,太山壓卵,太山，即泰山。「太山壓卵」即「泰山壓卵」。見「泰山壓卵」條。01.唐．陳子昂〈為建安王誓眾〉詞：「況皇帝義兵，剋期誅翦，此猶太山壓卵，鴻毛在爐。」,,
4565,心正氣和,"猶「心平氣和」。見「心平氣和」條。01.唐．權德輿〈叔父故朝散郎華州司士參軍府君墓誌銘序〉：「故祕書包公謂公內外脩理，心正氣和，君子以為知言。」<a name=""心和氣平"">　</a>",,
4566,心如刀剉,"猶「心如刀割」。見「心如刀割」條。01.元．周文質〈蝶戀花．楊柳樓臺套．神曲纏四〉：「病魔，心如刀剉，對青銅知鬢皤。」<a name=""心如刀鋸"">　</a>",,
4567,心迴意轉,"猶「回心轉意」。見「回心轉意」條。01.《兒女英雄傳》第二五回：「雖望著姑娘心迴意轉，卻絕不肯逼得姑娘理屈詞窮。」<a name=""意回心轉"">　</a>",,
4568,心猨意馬,"即「心猿意馬」。見「心猿意馬」條。01.宋．釋道潛〈贈賢上人〉詩：「心猨（猿）意馬就羈束，肯逐萬境爭馳驅。回看舊事真一夢，清渭濁涇良自殊。」<a name=""意馬心猿"">　</a>",,
4569,日坐針氈,"每日如坐針氈。見「如坐針氈」條。01.《大唐秦王詞話》第八數：「相驚共訴從前事，日坐針氈不得寧。」<br><a name=""坐若針氈"">　</a>",,
4570,毛髮為聳,"為，變成的意思。「毛髮為聳」猶「毛骨悚然」。見「毛骨悚然」條。01.明．宋濂〈王冕傳〉：「當風日佳時，操觚賦詩，千百不休，皆鵬騫海怒，讀者毛髮為聳。」<a name=""毛髮悚然"">　</a>",,
4571,水火深熱,"猶「水深火熱」。見「水深火熱」條。01.明．海瑞〈禁革積弊告示〉：「今非違道以干百姓之譽，非借此訐人之短，赤子如在水火深熱中，如將入井。」<br><a name=""水深火烈"">　</a>",,
4572,水乳相資,"即「水乳交融」。見「水乳交融」條。01.《高僧傳．三集．卷一六．唐撫州景雲寺上恆傳》：「貞元初，徙居豫章龍興寺，與廬阜法真、……塤箎合韻，水乳相資。」（源）<a name=""水乳相和"">　</a>",,
4573,水流花落,即「落花流水」。見「落花流水」條。01.唐．溫庭筠〈宿城南亡友別墅〉詩：「水流花落歎浮生，又伴游人宿杜城。還似昔年殘夢裡，透簾斜月獨聞鶯。」,,
