idiom,original_definition
發人深省,"啟發人深刻思考而有所醒悟。語本唐．杜甫〈遊龍門奉先寺〉詩。
△「發人猛省」"
朋比為奸,"互相勾結做壞事。語本《新唐書．卷一五二．李絳列傳》。
△「朋黨比周」"
惴惴不安,形容因恐懼擔憂而心神不安寧。◎語本《詩經．秦風．黃鳥》。
隨心所欲,完全順隨自己的心意去做事。語本《論語．為政》。
惜墨如金,不輕於落墨。原指作畫時墨色宜一遍遍地薄塗，最後才能達到漸次深入、濃淡有致的深厚效果，而不宜一次大量使用濃墨。＃語出宋．費樞《釣磯立談》。後用「惜墨如金」比喻寫字、作畫態度謹慎，不輕易下筆。
若無其事,好像沒有那麼一回事。形容神態鎮靜、自然。※語或出《雪巖外傳》第一○回。
苦盡甘來,"艱難困苦的境遇已經結束，轉而逐步進入佳境。※＃語或出《劉知遠諸宮調．第一二》。_x000D_
△「甘盡苦來」"
津津有味,形容興味濃厚的樣子。※語或本明．毛以遂〈曲律跋〉。後亦用「津津有味」形容食慾盎然或食物的美味。
花天酒地,"原指在美好的環境中飲酒作樂。※語或出清．捧花生《秦淮畫舫錄．卷上．紀麗．高桂子》。後來「花天酒地」多用來形容沉迷酒色，荒誕腐化的生活。
△「醉生夢死」"
席不暇暖,"席子還沒坐暖就得起身離去再忙別的事。形容奔走極為忙碌，沒有休息的時候。＃語本《淮南子．脩務》。_x000D_
△「孔席不暖，墨突不黔」、「墨突不黔」"
奄奄一息,"僅存微弱的一口氣。形容生命已到了最後時刻。語本晉．李密〈陳情表〉。_x000D_
△「日薄西山」"
玩世不恭,以不莊重、不嚴謹的生活態度待人處世。語本《漢書．卷六五．東方朔傳》。
街談巷議,"大街小巷中的談說議論。＃語出漢．張衡〈西京賦〉。
△「擘肌分理」"
顧名思義,本指為人子女者，見其名而思其命名之義。語出《三國志．卷二七．魏書．徐胡二王傳．王昶》。後用「顧名思義」比喻看到名稱，就聯想到它的含義。
馬耳東風,"東風吹過馬耳邊，瞬間消逝。比喻充耳不聞、無動於衷。語本唐．李白〈答王十二寒夜獨酌有懷〉詩。
△「耳邊風」、「秋風過耳」"
歡欣鼓舞,"歡樂興奮的樣子。語出宋．蘇軾〈上知府王龍圖書〉。
△「歡天喜地」"
面紅耳赤,形容人因緊張、焦急、害羞等而滿臉發紅的樣子。語本《朱子語類．卷二九．論語．公冶長下》。
閉月羞花,"「閉月羞花」之「閉月」，典源作「蔽月」，月兒自覺比不上美人，而躲避隱藏。語本三國魏．曹植〈洛神賦〉。「羞花」，形容女子容顏姣好，使花自感羞愧。語本唐．李白〈西施〉詩。「閉月羞花」形容女子容貌十分姣好。_x000D_
△「沉魚落雁」"
欲速不達,想要求快反而不能達到目的。語出《論語．子路》。
前事不忘，後事之師,記取過去的經驗教訓，可作為今後行事的鑑鏡。＃語出《戰國策．趙策一》。
懲前毖後,以從前的過失為教訓，戒慎自己不再犯錯。語本《詩經．周頌．小毖》。
五日京兆,"京兆，京師地區的行政長官。「五日京兆」指只能再做五日的京兆了。比喻即將去職。語出《漢書．卷七六．趙尹韓張兩王傳．張敞》。後用以比喻任職時間不久或沒有長遠打算。
△「忘恩負義」"
無可奈何,"毫無辦法、沒有辦法可想。＃語出《戰國策．燕策三》。
△「切齒腐心」、「迫不得已」、「望洋興嘆」"
改弦更張,"更，變換。張，給樂器上弦。指若琴瑟聲音不諧調，便得更換其弦。語本漢．董仲舒〈元光元年舉賢良對策〉。後用「改弦更張」比喻改革變更，重新做起。
△「改弦易轍」"
少見多怪,"因為少見而感到驚異奇怪。譏諷人見識不廣，遇平常之事亦以為驚怪。語本漢．牟融《理惑論》。
△「大驚小怪」"
知難而退,作戰時遇形勢不利就先行退兵。◎語出《左傳．僖公二十八年》。後用「知難而退」泛指行事遇到困難就退縮不前或應伺機退卻。
始作俑者,俑，古代用來殉葬的人偶。「始作俑者」指最初製作人俑來殉葬的人。孔子認為雖然用假人陪葬，在意念上實在仍與用真人陪葬無異，所以指責最初發明俑的人，一定會得到報應，絕子絕孫。語出《孟子．梁惠王上》。後用「始作俑者」比喻首創惡例的人。
撥亂反正,扭轉亂象，歸於正道。語出《公羊傳．哀公十四年》。
醉翁之意不在酒,本指喝酒時意不在酒，而在寄情於山水中。語出宋．歐陽修〈醉翁亭記〉。後也用「醉翁之意不在酒」比喻別有用心。
精衛填海,本指炎帝幼女女娃溺死東海，化為精衛鳥，憤而銜木石以填東海的故事。典出《山海經．北山經》。後用「精衛填海」比喻心懷冤憤，立志報仇。亦比喻意志堅定，不懼艱苦。
實事求是,做事切實，加求真確。語出《漢書．卷五三．景十三王傳．河間獻王劉德》。
聞一知十,"得知一件事，便可推知十件相關的事。形容人稟賦聰敏，善於類推。語出《論語．公冶長》。
△「舉一反三」"
倚馬可待,東晉桓溫領兵北伐，命令袁虎依靠在馬前草擬一篇告示，袁虎不一會兒即寫滿七張紙，而且文情並茂。＃典出南朝宋．劉義慶《世說新語．文學》。後用「倚馬可待」比喻文思敏捷，寫作迅速。
多難興邦,國家多難，則上下團結奮發，促使邦國更加興盛。語本《左傳．昭公四年》。
為人作嫁,為別人做出嫁時穿的衣裳。語出唐．秦韜玉〈貧女〉詩。後用「為人作嫁」比喻徒然為他人辛苦，自己卻得不到好處。
風燭殘年,「風燭」，燈燭在風中搖曳，明暗不定，也極易滅熄。比喻人生命可危。語本古辭〈怨詩行〉。「殘年」，暮年。語出《列子．湯問》。「風燭殘年」形容人身體孱弱，不久於世的晚年。
要言不煩,"說話精要，不囉嗦。語出《輅別傳》。
△「言簡意賅」"
米珠薪桂,米如珍珠，柴如桂木。比喻物價昂貴。語本《戰國策．楚策三》。
自以為是,"自認觀點與做法正確，不肯虛心接受別人的意見。＃語出《孟子．盡心下》。
△「同流合汙」"
豺狼當道,豺狼橫在道路中間，比喻壞人橫行作惡。語本《漢書．卷七七．蓋諸葛劉鄭孫母將何傳．孫寶》。後亦用以比喻奸人掌握大權，專斷橫行。
談何容易,本指人臣進言不容易。語出《漢書．卷六五．東方朔傳》。今用「談何容易」指嘴裡說說容易，實際做起來卻很困難。
問道於盲,"向盲人問路。比喻向無知的人求教。語本唐．韓愈〈答陳生書〉。_x000D_
△「借聽於聾」"
英雄無用武之地,"人雖有才能，卻無施展的機會。語本《三國志．卷三五．蜀書．諸葛亮傳》。
△「懷才不遇」"
城下之盟,敵國軍隊兵臨城下，抵擋不住，被迫與敵人簽訂的和約。◎語出《左傳．桓公十二年》。後用「城下之盟」泛指被迫簽訂的屈辱性條約。
弄璋之喜,恭喜人生男孩的賀詞。語本《詩經．小雅．斯干》。
如虎添翼,"猛虎生出雙翅。比喻強有力者又增添生力軍，使之更強。語本三國蜀．諸葛亮《將苑．兵權》。_x000D_
△「為虎傅翼」、「錦上添花」"
叱吒風雲,「叱吒風雲」之「吒」，典源作「咤」。「咤」同「吒」。大聲怒喝，連風雲都為之變色。形容威風凜凜，足以左右世局。語出《晉書．卷一二五．乞伏熾磐載記》。
一朝一夕,朝，早晨。夕，傍晚。「一朝一夕」形容時間短暫。語出《易經．坤卦．文言》。
格殺勿論,擊殺凶惡的人不以殺人論罪。＃語本《周禮．秋官．朝士》漢．鄭眾．注。
一場春夢,春夢，言春天易睡，夢境亦美，但容易醒。「一場春夢」指做了一個易醒的春日美夢；比喻世事變幻，轉眼成空。語出唐．盧延讓〈哭李郢端公〉詩。
借題發揮,假借某事為藉口，表達自己真正的意思，或想做的事。※語或出明．王衡《鬱輪袍》第二折。
英雄氣短,"有才識志氣的人因遭受挫折而喪失進取心。語本《增廣尚友錄統編．卷三．蘇丕》。後用「英雄氣短」形容有才識志氣的人因沉迷於愛情而喪失進取心。
△「兒女情長」、「兒女情長，英雄氣短」、「風雲氣短」"
神出鬼沒,本指用兵神奇靈活，變化莫測。語本《淮南子．兵略》。後亦用「神出鬼沒」形容出沒無常，變化莫測。
高風亮節,「高風」，高尚的品格。語出《後漢書．卷二八下．馮衍傳》。「亮節」，堅貞的氣節。語出晉．陸雲〈晉故豫章內史夏府君誄〉。「高風亮節」形容人的品格高尚，氣節堅貞。
眉開眼笑,"眉頭舒展，眼含笑意。形容愉悅欣喜的神情。※語或本《喻世明言．卷四．閒雲菴阮三償冤債》。
△「眉飛色舞」"
寅吃卯糧,"寅年就吃掉了後一年卯年的食糧。※語或本明．畢自嚴〈蠲錢糧疏〉。後用「寅吃卯糧」比喻收入不夠支出，預支以後的用項。
△「入不敷出」"
涓滴歸公,涓，細小的流水。涓滴，水滴，比喻極微小的錢財或物品。「涓滴歸公」指即使是極微小的錢財或物品，也要上繳給公家，形容為人廉潔。※語或出《清史稿．卷二○．文宗紀》。
根深蒂固,"「根深蒂固」之「蒂」，典源作「蔕」，音義同。比喻根基堅固，不可動搖。語本《老子》第五九章。
△「積重難返」"
烽火連天,「烽火」，古代邊防據點用來報警的煙火，比喻戰爭。語出《史記．卷四．周本紀》。「連天」，景物與天空相連。語出《後漢書．卷一．光武帝紀》。「烽火連天」比喻戰爭接連不斷。
望而卻步,看見了就退縮不前。指危險或能力不及的事，令人看了就退卻不前。※語或本明．徐光啟〈復周無逸學憲書〉。
一念之差,一個念頭的差錯。※語或出宋．蘇軾〈次韻致政張朝奉仍招晚飲〉詩。
同室操戈,"「同室」，同住在一個房子的人，引申為自家人。語出《孟子．離婁下》。「操戈」，拿著兵器追殺。語本《左傳．昭公元年》。「同室操戈」指自家人彼此持戈相殺，用以比喻兄弟不睦或內部的爭鬥。
△「入室操戈」"
率由舊章,"典章制度完全取法於前代。指一切遵循舊規。語出《詩經．大雅．假樂》。
△「蕭規曹隨」"
明眸皓齒,明亮的眼睛，潔白的牙齒。形容女子容貌明麗。語本三國魏．曹植〈洛神賦〉。後亦用「明眸皓齒」指稱美女。
獨木難支,比喻事情非常重大，非一人之力所能支持。＃語本《慎子．知忠》。
不時之需,「不時之需」之「需」，典源作「須」。「須」義同「需」。指隨時的需用。＃語本宋．蘇軾〈後赤壁賦〉。
赤地千里,赤，光禿、裸露的意思。「赤地千里」形容災荒後廣大土地寸草不生的荒涼景象。語本《漢書．卷七五．眭兩夏侯京翼李傳．夏侯勝》。
貪贓枉法,"指貪汙受賄，破壞法紀。※語或本元．無名氏《陳州糶米》第二折。
△「受賕枉法」"
逍遙法外,犯罪者逃避了應受的法律制裁，仍自由自在。語本《莊子．讓王》。
長驅直入,長距離一路挺進，毫無阻擋。語本《漢書．卷五二．竇田灌韓傳．韓安國》。
見仁見智,對同一件事，每個人看法各異。語本《易經．繫辭上》。
博古通今,學問淵博，通曉古今。語本《孔子家語．卷三．觀周》。
欺世盜名,"「欺世」，欺騙世人。※語或本《韓非子．詭使》。「盜名」，盜取名譽。語出《荀子．不苟》。「欺世盜名」比喻欺騙世人，盜取名譽。
△「沽名釣譽」"
惱羞成怒,因羞愧到極點而惱恨發怒。※語或本《兒女英雄傳》第一六回。
椎心泣血,自捶胸脯，眼中哭出血來。形容哀痛到了極點。語出漢．李陵〈答蘇武書〉。
驚濤駭浪,猛烈的風浪。語本三國魏．王粲〈浮淮賦〉。後亦用「驚濤駭浪」比喻險惡的環境。
鞭辟入裡,"鞭辟，鞭策、激勵。「鞭辟入裡」指研究學問要自我鞭策，深入精微之處。語本《二程集．河南程氏遺書．卷一一．師訓》。後用「鞭辟入裡」形容評論見解深刻透澈。_x000D_
△「入木三分」"
一團和氣,一片祥和的氣氛，也形容一個人態度和藹可親。※語或出《二程集．河南程氏外書．卷一二．傳聞雜記》。
傷天害理,"指為人處事違背天理，泯滅人性。※語或出《聊齋志異．卷八．呂無病》。
△「反天滅理」"
明鏡高懸,傳說秦宮有方鏡，能照見人的五臟六腑，鑑別人心邪正。典出《西京雜記》卷三。後用「明鏡高懸」比喻官吏辦事明察無私，執法公正嚴明。
高山流水,形容樂曲高妙。＃語本《列子．湯問》。後亦用「高山流水」比喻知音才懂的音樂。
花團錦簇,花朵錦繡聚集在一起。形容繁花茂盛。※＃語或本唐．施肩吾〈少婦游春詞〉。後亦用「花團錦簇」形容五彩繽紛、繁華美麗。
不二法門,佛教用語。不二，不是兩個極端；法門，修行入道的門徑。「不二法門」指觀察事物的道理，要離開相對的兩個極端的看法，才能得其實在，所以「不二法門」是指到達絕對真理的方法。語出《維摩詰所說經．卷中．入不二法門品第九》。後用「不二法門」比喻唯一的方法或途徑。
無懈可擊,沒有任何破綻可讓人攻擊。形容非常嚴密，沒有缺失。語本《孫子．計篇》三國魏．曹操．注。
大書特書,將值得書寫的事蹟，鄭重地記錄下來。語出唐．韓愈〈答元侍御書〉。
亡命之徒,本指脫離名籍而逃亡在外的人。語本《史記．卷八九．張耳陳餘列傳．張耳》。後亦用「亡命之徒」比喻不顧性命作奸犯科的人。
兔死狐悲,"兔子死了，狐狸感到悲傷。比喻因同類的不幸遭遇而感到悲傷。語本敦煌變文《鷰子賦》。_x000D_
△「物傷其類」"
感激涕零,感激落淚，形容非常感謝。語本唐．劉禹錫〈平蔡州〉詩三首之二。
赤手空拳,"「赤手」，空手。語出宋．蘇軾〈送范純粹守慶州〉詩。「空拳」，手中沒任何東西。語出漢．桓寬《鹽鐵論．論勇》。「赤手空拳」指手中空無一物。亦用於形容沒有一點憑藉。
△「手無寸鐵」、「赤手空弮」"
拍案叫絕,案，桌子。絕，絕妙、好到極點。「拍案叫絕」，拍桌子叫好，形容非常讚賞。※＃語或出《紅樓夢》第七○回。
別有天地,"形容風景秀麗，引人入勝。＃語出唐．李白〈山中問答〉詩。 後亦用「別有天地」指另有一番境界。
△「別有洞天」"
遇人不淑,女子誤嫁了不好的丈夫。語出《詩經．王風．中谷有蓷》。
暗度陳倉,漢高祖劉邦聽從韓信建議，表面上公開派人修築棧道，暗中卻由陳倉出兵，進而平定三秦。比喻出其不意、從旁突擊的戰略。典出《史記．卷八．高祖本紀》。後用「暗度陳倉」比喻暗中進行的活動，亦用於比喻男女私通。
耳目一新,形容所見所聞都有一種新奇、清新的感覺。＃語本《魏書．卷一六．道武七王列傳．河南王曜》。
當務之急,"當前最急迫要做的事。語本《孟子．盡心上》。
△「燃眉之急」"
福至心靈,形容運氣來時，心思突然變得靈敏起來。語出宋．畢仲詢《幙府燕閒錄》。
衣冠禽獸,"空有外表而行同禽獸。比喻品德敗壞的人。※語或出明．陳汝元《金蓮記》第七齣。
△「人面獸心」、「衣冠梟獍」"
死心塌地,形容心意已定，不再改變。※＃語或出元．王實甫《西廂記．第三本．第三折》。「死心塌地」亦用來表示心裡踏實或放心之意。
新陳代謝,「新陳代謝」之「陳」，典源作「故」。代，更代、輪流。謝，凋謝。有代謝必有代生，「新故代謝」指時序循環中的事物更迭交替。語本漢．蔡邕〈筆賦〉。後用「新陳代謝」形容新舊事態的更新除舊，或為生物體細胞中各種化學反應的總稱。
搖旗吶喊,打仗時，揮舞旗幟，嘶喊以助聲威。※語或出元．喬吉《兩世姻緣》第三折。後亦用「搖旗吶喊」比喻為他人助長聲勢。
搖搖欲墜,"搖搖晃晃得快要倒下來。形容就要掉下來或就要垮臺的樣子。※語或出《三國演義》第一○四回。
△「岌岌可危」"
有教無類,指施教的對象，沒有貴賤貧富的分別。語出《論語．衛靈公》。
有名無實,"指虛有其名而無實際內容。＃語本《國語．晉語八》。
△「名不副實」"
槁木死灰,形體寂靜如枯槁的木頭，沒有生氣，精神凝聚猶如冷卻的灰燼，不能重新起火。形容人清虛寂靜，對外物無動於衷。語本《莊子．齊物論》。後用「槁木死灰」形容人因遭受挫折變故而灰心絕望的樣子。
有目共睹,凡是有眼睛的人都看得見。指事實極為明顯，眾所周知。語本漢．徐幹《中論．卷上．貴驗》。
慘不忍睹,"形容情狀悽慘，令人不忍目睹。※語或出清．許奉恩《里乘．卷八．倪公春岩》。
△「傷心慘目」"
小巧玲瓏,形容極細緻精巧。語本宋．辛棄疾〈臨江仙．莫笑吾家蒼壁小〉詞。
憐香惜玉,「憐香」，喜愛花香。語出唐．徐夤〈蝴蝶〉詩二首之一。「惜玉」，珍視寶玉。語出金．元好問〈荊棘中杏花〉詩。「憐香惜玉」比喻愛憐、善待女性。
耳鬢廝磨,耳旁的鬢髮相互摩擦，形容親暱。※◎語或出《紅樓夢》第七二回。
寡不敵眾,人少的抵擋不過人多勢眾的。＃語出《逸周書．卷九．芮良夫》。
語無倫次,"說話顛三倒四，毫無條理。語出宋．蘇軾《東坡志林》卷二。
△「不知所云」"
寥寥無幾,"數量極少。※語或出明．胡應麟《詩藪．內編．古體下．七言》。
△「屈指可數」、「寥若晨星」"
目瞪口呆,"形容受驚或受窘以致神情痴呆的樣子。語本唐．皇甫枚《三水小牘．卷下．夏侯禎黷女靈皇甫枚為禱乃免》。
△「呆若木雞」"
生殺予奪,生存、殺害、給予、奪取。比喻人切身的一切事情。＃語本《周禮．春官．內史》。
摩頂放踵,"摩，磨。頂，頭頂。放，音ㄈㄤˇ，至。踵，腳後跟。「摩頂放踵」指磨禿頭頂，走破腳後跟。語出《孟子．盡心上》。後用「摩頂放踵」比喻捨己救世，不辭勞苦。_x000D_
△「一毛不拔」、「鞠躬盡瘁」"
珠聯璧合,日月如併合的玉璧，星辰如成串的珍珠，指一種天象。古人認為是祥瑞的徵兆。語本《漢書．卷二一．律曆志上》。後用「珠聯璧合」比喻人才或美好的事物相匹配或同時薈集。常用作祝賀新婚的頌辭。
未卜先知,"未曾占卜就能知道吉凶。形容有預知未來的能力。※語或出元．王曄《桃花女》第三折。
△「料事如神」"
火樹銀花,「火樹」，像火一般燦爛的樹。語出晉．傅玄〈庭燎〉詩。「銀花」，銀色的花朵，後指燈。語出南朝梁．簡文帝〈彌陀佛像銘〉。「火樹銀花」形容燈火通明燦爛的景象。
半推半就,就，本指到職、就位，俯就。引申為依隨，順從的意思。「半推半就」形容假意推辭終久俯允的樣子。語出元．王實甫《西廂記．第四本．第一折》。
平地風波,平地上起風波，比喻突然發生事故或變化。語本唐．劉禹錫〈竹枝詞〉九首之七。
調虎離山,"引誘老虎離開牠盤踞的山頭。比喻用計誘使對方離開他的據點，以便趁機行事，達成目的。※語或出《西遊記》第五三回。
△「賺虎離窩」"
瞠乎其後,"瞠，音ㄔㄥ，張大眼睛直視。「瞠乎其後」比喻落後很多，追趕不上。語本《莊子．田子方》。
△「亦步亦趨」、「奔逸絕塵」、「望塵莫及」"
天馬行空,"天馬，指天帝所乘的神馬。「天馬行空」，形容神馬奔馳。語本《漢書．卷二二．禮樂志》。後用「天馬行空」比喻文才氣勢豪放不拘，亦用於形容浮誇不著邊際。
△「天馬脫御」、「天馬脫羈」、「脫羈天馬」"
烏煙瘴氣,瘴氣，山林間因溼熱蒸鬱而成的毒氣。「烏煙瘴氣」形容人事渾濁、氣氛不諧，就像黑色的煙霧，有毒的瘴氣。※◎語或出《兒女英雄傳》第二一回。後亦用「烏煙瘴氣」形容環境汙穢不潔。
參差不齊,"雜亂不整齊。＃語出漢．揚雄《法言．序》。_x000D_
△「良莠不齊」"
噬臍莫及,「噬臍莫及」之「臍」，典源作「齊」。「齊」通「臍」，臍就是肚臍。用嘴咬自己的肚臍，是做不到的事。比喻後悔已遲。語本《左傳．莊公六年》。
賠了夫人又折兵,送給人夫人，又折損了自己的兵將，大大吃虧。相傳周瑜曾施計，假裝要將孫權的妹妹嫁給劉備，以取荊州，結果弄巧成拙，不但沒得到荊州，反而孫權的妹妹真的被娶走，並且又折損了許多兵將。後用「賠了夫人又折兵」以比喻不但沒有占到便宜，反而吃大虧。語出元．無名氏《隔江鬥智》第二折。
天誅地滅,誅，殺。滅，消滅。「天誅地滅」指所作所為天地不容。多用於發誓、賭咒。語出宋．朱暉《絕倒錄．養脾丸》。
天羅地網,天空地面遍布羅網。比喻防範極為嚴密，無法逃脫。＃語出《大宋宣和遺事．亨集》。
龍蟠虎踞,「龍蟠虎踞」之「蟠」，典源作「盤」。蟠，盤伏、盤曲。「龍蟠虎踞」形容像神龍盤曲、猛虎蹲坐著。＃語本《西京雜記》卷六。後用「龍蟠虎踞」形容地勢雄偉險要。
切膚之痛,切，接近。「切膚之痛」指與自身密切相關的痛苦。語本《易經．剝卦》。後用「切膚之痛」比喻極為深刻難忘的感受與經驗。
手忙腳亂,"形容做事慌亂，失了條理。※＃語或本《景德傳燈錄．卷一九．韶州雲門山文偃禪師》。亦可形容十分忙碌的樣子。_x000D_
△「七手八腳」"
聳人聽聞,"「聳人聽聞」之「聳人」，典源作「聳動」。使人聽後大為驚駭。※語或本宋．周密《齊東野語．卷七．洪君疇》。
△「危言聳聽」、「駭人聽聞」、「聳動人聽」"
一五一十,"(一)本指計數的動作，亦用以形容計數的仔細。※語或出《醒世姻緣傳》第三四回。_x000D_
(二)比喻把事情從頭至尾詳細說出，無所遺漏。※語或出《水滸傳》第二四回。_x000D_
△「如數家珍」"
氣宇軒昂,「氣宇軒昂」之「氣」，典源作「器」，也有氣度之意。「氣宇」，指人的胸襟、氣度。語本晉．王隱《晉書》。「軒昂」，形容意態不凡。語出《三國志．卷四六．吳書．孫破虜討逆傳．孫堅》。「氣宇軒昂」形容神采飛揚，氣度不凡。
隱惡揚善,"隱藏他人的惡行，宣揚他人的善行。語出《禮記．中庸》。_x000D_
△「遏惡揚善」"
軒然大波,高揚壯大的波濤。語出唐．韓愈〈岳陽樓別竇司直〉詩。後用「軒然大波」比喻大的糾紛或風波。
出口成章,從口中說出的話有章法有文理。語本《詩經．小雅．都人士》。後用「出口成章」比喻才思敏捷，談吐風雅。
雞皮鶴髮,如雞皮般皮膚粗糙，似鶴羽般頭髮雪白。形容老人的形貌。語本北周．庾信〈竹杖賦〉。
人去樓空,表示舊地重遊時人事已非，或對故人的思念。語本唐．崔顥〈黃鶴樓〉詩。後亦用「人去樓空」形容畏罪潛逃，不知去向。
三頭六臂,"「三頭六臂」之「六臂」，原作「八臂」，指有三顆頭、八條臂膀，為一種天神的長相。語本《法苑珠林．卷五．六道篇．脩羅部．述意部》。後用「三頭六臂」比喻人本領大，力強可畏。
△「神通廣大」"
出水芙蓉,"芙蓉，荷花的別名。「出水芙蓉」指初出水面初開的荷花，光潔清新。用於比喻詩文清新可愛。語本南朝梁．鍾嶸《詩品．卷中．宋光祿大夫顏延之詩》。後用「出水芙蓉」比喻女子嬌柔豔麗。_x000D_
△「錯彩鏤金」"
觸景生情,"看見眼前景象而引發內心種種情緒。語本元．戴良〈錢氏三樓詩序〉。
△「見景生情」、「睹物興情」"
黃袍加身,黃袍，皇帝所服之袍。「黃袍加身」指被擁戴為皇帝。＃典出《宋史．卷一．太祖本紀》。
一箭雙雕,即「一箭雙鵰」。見「一箭雙鵰」條。
三寸不爛之舌,"形容人口才極佳，能言善道。◎語本《史記．卷七六．平原君虞卿列傳．平原君》。
△「一言九鼎」"
捨本逐末,"指人民不務農業而從事工、商。＃語本《呂氏春秋．士容論．上農》。後用「捨本逐末」指人不求事物的根本大端，只重視微末小節。
△「舍本治末」、「捨本就末」"
一心一意,"同心同意。亦用於指心意專一，毫無他念。＃語本《杜氏新書》。_x000D_
△「全心全意」"
韋編三絕,韋，熟皮。舊時用以串聯竹簡成冊。「韋編三絕」本指孔子勤讀《易》，致使編竹簡的皮繩多次斷裂。語出《史記．卷四七．孔子世家》。後用以比喻讀書勤奮努力。
一了百了,原指一樣事情明白了解，其他各事亦可類推而明白了解。＃語本《朱子語類．卷八．學．總論為學之方》。後人望文生義，以「了」為「了結」之義，「一了百了」遂指主要的事一了結，其餘相關的事也隨之了結。
腰纏萬貫,"貫，為古代計算錢幣的單位，一千錢為一貫。「腰纏萬貫」指身上有大筆的錢財。比喻財富極多。典出南朝梁．殷芸《小說．卷六．吳蜀人》。
△「腰纏騎鶴」、「騎鶴揚州」"
額手稱慶,"舉手齊額，表示慶賀、高興。※語或出《東周列國志》第三七回。_x000D_
△「以手加額」"
一無所有,什麼都沒有。※語或出敦煌變文《㠠山遠公話》。
文不對題,文章內容和題目不相符合。※語或出清．宣鼎《夜雨秋燈錄三集．卷二．科場》。後亦用「文不對題」指話語與話題不符。
心驚膽戰,形容十分驚慌害怕。語本敦煌變文《維摩詰經講經文》。
水性楊花,楊花，指柳絮。水依地勢而流，楊花隨風飄散。「水性楊花」比喻用情不專，容易變心。多用於女子。※語或本《永樂大典戲文三種．小孫屠．第九齣》。
心煩意亂,"「心煩意亂」之「意」，典源作「慮」。「心煩意亂」指心情煩躁，思緒凌亂。語本戰國楚．屈原〈卜居〉。
△「意擾心愁」"
文不加點,形容文思敏捷、下筆成章，通篇無所塗改。＃語出漢．禰衡〈鸚鵡賦〉。
以貌取人,"以容貌儀表作為評斷或選取人才的標準。＃語本《韓非子．顯學》。_x000D_
△「以言取人」"
寸步不離,緊緊跟隨著，一小步也不離開。比喻關係密切，總是在一起。語出《述異記》。
大聲疾呼,疾，急促。「大聲疾呼」指大聲而急促的呼喊。語本唐．韓愈〈後十九日復上書〉。後亦用「大聲疾呼」比喻大力地提倡、號召。
不置可否,"不說可以，也不說不可以。形容不表示任何意見。※語或本宋．汪藻〈尚書禮部侍郎致仕贈大中大夫衛公墓誌銘〉。
△「模稜兩可」"
打退堂鼓,古代官吏審理案件完畢後，擊鼓離堂休息。※＃語或本元．關漢卿《竇娥冤》第二折。後用「打退堂鼓」比喻中途退縮放棄。
四通八達,四方相通的道路。形容交通便利。＃語本《史記．卷九七．酈生陸賈列傳．酈食其》。後亦用「四通八達」指人。亦用於形容對事理明白曉暢、融會貫通。
無妄之災,「無妄之災」之「無」，典源作「无」。无，古「無」字。古時一人把牛繫在路上，卻被路人牽走，而使當地人平白受到懷疑和搜捕。比喻意外的災禍。語本《易經．无妄卦》。
甘之如飴,指苦難來臨，甘心承受。語本漢．趙曄《吳越春秋．勾踐歸國外傳》。
不約而同,"彼此並未事先約定，而意見或行為卻相同。語本《史記．卷一一二．平津侯主父列傳．主父偃》。
△「不謀而合」"
名韁利鎖,功名的韁繩和利祿的鎖鏈。比喻人受名利的羈絆而不得自由。＃語本《漢書．卷一○○．敘傳上》。
付之一笑,形容態度毫不在意，一笑置之。語本宋．蘇軾〈次韻王郎子立風雨有感〉詩。
因小失大,因為小利，而損失大利。見「貪小失大」條。01.《二十載繁華夢》第三四回：「說個報效贖罪的人情，那可使不得，他卻只是不理，只道他身在洋界，可以沒事，不知查抄起來，反恐因小失大，他卻如何懂得？」02.《兒女英雄傳》第二三回：「再說看那姑娘的見識心胸，大概也未必肯吃這注，倘然因小失大，轉為不妙。」
因時制宜,"根據不同時期的情況，採取合宜的措施應對。語本《淮南子．氾論》。
△「因地制宜」、「因事制宜」"
不識之無,連「之」、「無」二字都不認識，比喻不識字或毫無學問。＃典出唐．白居易〈與元九書〉。
支吾其詞,形容以含混牽強的言語，搪塞應付他人。※語或出《官場現形記》第二八回。
禍不單行,"比喻不幸的事接二連三地發生。語本漢．劉向《說苑．卷一三．權謀》。
△「福無雙至」、「福無雙至，禍不單行」"
現身說法,本指佛、菩薩顯現種種化身，向眾生宣說佛法。＃語本《大佛頂首楞嚴經》卷六。後用「現身說法」比喻以親身經歷為例證，來說明道理或勸導別人。
設身處地,假想自己處在他人地位或情況中。語本宋．朱熹《四書章句集注．中庸章句．第二○章》。
光天化日,「光天」，指陽光普照之天。語出《書經．益稷》。「化日」，指承平無事之日。語本漢．王符〈愛日篇〉。「光天化日」指政治清明的太平盛世。後亦用「光天化日」比喻在大白天裡，人人都看得清楚的場合。
每況愈下,"猶「每下愈況」。見「每下愈況」條。01.宋．胡仔《苕溪漁隱叢話．後集．卷二六．東坡一》：「子瞻自言，平生不善唱曲，故間有不入腔處，非盡如此，後山乃比之教坊司雷大使舞，是何每況愈下？蓋其謬耳。」02.清．洪亮吉《北江詩話》卷三：「南宋儒者似又竊釋氏緒餘，此即莊子所謂每況愈下也。」<a name=""每變愈下"">　</a>"
